Portfolio,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Losses Harvested,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,1602744.220000,0.602744,0.048381,0.075347,0.642100,-0.103700,12.703400,429.622100,0.023751,-0.569100,98883.564570,86226.940000,58.000000,8079.960000,-26156.326188,0.000000,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,1823875.180000,0.823875,0.062066,0.084060,0.738400,-0.110358,9.385900,277.582800,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,1522150.570000,0.522151,0.042977,0.079862,0.538100,-0.107479,8.956300,266.775400,0.015167,-1.208300,142644.462990,199390.300000,1140.000000,43483.550000,10730.711475,614.075074,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,1850447.970000,0.850448,0.063606,0.084123,0.756100,-0.109772,9.355700,276.609800,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,1522150.570000,0.522151,0.042977,0.079862,0.538100,-0.107479,8.956300,266.775400,0.016016,-1.235100,142644.462990,199390.300000,1140.000000,43483.550000,10730.711475,614.075074,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,1201809.710000,0.201810,0.096672,0.081623,1.184400,-0.086697,-0.172100,0.820900,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,1124493.130000,0.124493,0.060669,0.077497,0.782900,-0.085573,-0.128700,0.723600,0.013776,-2.408600,34755.193778,19533.090000,2.000000,8220.400000,1943.497458,0.000000,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,1201809.710000,0.201810,0.096672,0.081623,1.184400,-0.086697,-0.172100,0.820900,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,1162896.870000,0.162897,0.078701,0.079644,0.988200,-0.086437,-0.161100,0.823400,0.011286,-1.428000,10860.243296,7795.110000,1.000000,1882.710000,1090.878534,0.000000,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,1200844.320000,0.200844,0.096230,0.081150,1.185800,-0.086697,-0.135600,0.707300,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,1124493.130000,0.124493,0.060669,0.077497,0.782900,-0.085573,-0.128700,0.723600,0.013268,-2.467600,34755.193778,19533.090000,2.000000,8220.400000,1943.497458,0.000000,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Monthly,Off,Monthly Rebal | No TLH,1175738.030000,0.175738,0.084664,0.078150,1.083400,-0.085769,-0.117800,0.790900,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,1124490.900000,0.124491,0.060668,0.077266,0.785200,-0.082932,-0.147800,0.759500,0.008842,-2.475500,32477.812308,12852.970000,3.000000,7521.750000,2731.160731,0.000000,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,1177716.510000,0.177717,0.085580,0.078250,1.093700,-0.085790,-0.122700,0.799400,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,1134836.060000,0.134836,0.065555,0.078200,0.838300,-0.080036,-0.166900,0.753700,0.009926,-1.819600,25995.937578,14405.320000,1.000000,4560.220000,1736.690339,0.000000,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Yearly,Off,Yearly Rebal | No TLH,1186154.250000,0.186154,0.089478,0.079729,1.122300,-0.086697,-0.146800,0.807600,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,1160996.800000,0.160997,0.077816,0.080611,0.965300,-0.086437,-0.263500,1.236000,0.010806,-0.935700,14926.823396,7443.590000,1.000000,1917.930000,1153.596815,4380.822416,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,1180408.880000,0.180409,0.086825,0.078883,1.100700,-0.086144,-0.124900,0.770100,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,1124493.130000,0.124493,0.060669,0.077497,0.782900,-0.085573,-0.128700,0.723600,0.009936,-2.407400,34755.193778,19533.090000,2.000000,8220.400000,1943.497458,0.000000,0.000000
40/60 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,1186222.740000,0.186223,0.089509,0.079681,1.123300,-0.086697,-0.143700,0.804300,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,1124493.130000,0.124493,0.060669,0.077497,0.782900,-0.085573,-0.128700,0.723600,0.010891,-2.429200,34755.193778,19533.090000,2.000000,8220.400000,1943.497458,0.000000,0.000000
